NTPTime,BVP,BVP_clean,TAG,emotion_HRI,shortNTPTime
0.0,-189.22821044921875,0.7905240899687362,,,
16.0,-198.60731506347656,0.6995991542086122,,,
31.0,-188.3212432861328,0.6831585256871396,,,
47.0,-157.83045959472656,0.7736282977750777,,,
63.0,-112.84561157226562,0.976215295862055,,,
78.0,-62.70623779296875,1.2725002795237603,,,
94.0,-15.923812866210938,1.6302162894368968,,,
110.0,23.2515869140625,2.014227421728389,,,
125.0,54.677734375,2.394661466723757,,,
141.0,80.63035583496094,2.7505927772866854,,,
156.0,102.447998046875,3.070051375474021,,,
172.0,119.6611328125,3.348308110276964,,,
188.0,131.4571990966797,3.5861121452851017,,,
203.0,138.10812377929688,3.7884412711569646,,,
219.0,142.35081481933594,3.96330978064337,,,
235.0,148.44418334960938,4.119928817078478,,,
250.0,159.30502319335938,4.266071059707744,,,
266.0,174.31515502929688,4.405345658629376,,,
281.0,188.8907012939453,4.535578006169761,,,
297.0,196.59243774414065,4.649237763917313,,,
313.0,191.7845458984375,4.73598666807838,,,
328.0,172.9371337890625,4.786420292218536,,,
344.0,143.46258544921875,4.7955075433063,,,
360.0,110.14968872070312,4.764381938014624,,,
375.0,80.66228485107422,4.699901881314276,,,
391.0,59.84608459472656,4.612354891624025,,,
406.0,48.42979431152344,4.512356710970534,,,
422.0,43.44352722167969,4.408117623343911,,,
438.0,40.61780548095703,4.303868398142008,,,
453.0,36.36810302734375,4.199655914135957,,,
469.0,28.32445526123047,4.092257986337211,,,
485.0,15.166229248046877,3.976778101027561,,,
500.0,-4.012992858886719,3.848496137530952,,,
516.0,-28.803855895996094,3.704607170131765,,,
531.0,-56.85430908203125,3.545484544799029,,,
547.0,-83.22502136230469,3.3751069080858285,,,
563.0,-101.71512603759766,3.2004171534463053,,,
578.0,-107.34873962402344,3.029692553935894,,,
594.0,-99.07142639160156,2.8704016276998225,,,
610.0,-80.7094955444336,2.727291615186595,,,
625.0,-59.35138320922852,2.601408161419831,,,
641.0,-41.98619842529297,2.490381792973304,,,
656.0,-32.39628601074219,2.389801775546097,,,
672.0,-30.444765090942383,2.295094868513472,,,
688.0,-32.59421920776367,2.2032112106466477,,,
703.0,-34.30112075805664,2.1135948516812904,,,
719.0,-31.6940860748291,2.028241477176705,,,
735.0,-22.14400863647461,1.9509501976480392,,,
750.0,-4.239643096923828,1.8860640932705264,,,
766.0,21.704608917236328,1.837066300973488,,,
781.0,53.02300643920898,1.8053959292649424,,,
797.0,84.74935913085938,1.789788804604206,,,
813.0,110.23450469970705,1.7863179675320804,,,
828.0,123.47705078125,1.7891067469263933,,,
844.0,121.43045806884766,1.791468700850635,,,
860.0,104.7125473022461,1.787096156345435,,,
875.0,77.12090301513672,1.7709544983210328,,,
891.0,43.02839279174805,1.739732790201321,,,
906.0,6.137285232543945,1.6919395381654143,,,
922.0,-31.55673217773437,1.6278663072323452,,,
938.0,-68.00405883789062,1.5495884090290712,,,
953.0,-100.0798568725586,1.4609769683444045,,,
969.0,-122.83753967285156,1.3675106395225047,,,
985.0,-130.4558563232422,1.275653028263977,,,
1000.0,-119.90642547607422,1.198022497161872,,,
1016.0,-92.4014663696289,1.1338924771990608,,,
1031.0,-54.8155632019043,1.0829384124914063,,,
1047.0,-16.825366973876953,1.0400031240136558,,,
1063.0,13.060302734375,0.9976351877577926,,,
1078.0,30.92416381835937,0.9490476929427266,,,
1094.0,38.58697128295898,0.890262329658583,,,
1110.0,41.421268463134766,0.8207290420047898,,,
1125.0,44.87531280517578,0.7424551314293828,,,
1141.0,50.807899475097656,0.6582783791630276,,,
1156.0,56.85198211669922,0.5701567489636261,,,
1172.0,57.62019348144531,0.4782028636437865,,,
1188.0,47.91554260253906,0.3807982980247718,,,
1203.0,26.60339736938477,0.2756656548420685,,,
1219.0,-1.995380401611328,0.1614106759122853,,,
1235.0,-28.53661346435547,0.0388718863098444,,,
1250.0,-42.06997299194336,-0.0883191774570677,,,
1266.0,-35.022361755371094,-0.2142633117529651,,,
1281.0,-7.863588333129883,-0.3322514912581269,,,
1297.0,29.866329193115234,-0.4365839240698978,,,
1313.0,63.90679168701172,-0.5240024119866074,,,
1328.0,81.8746337890625,-0.5941699937163841,,,
1344.0,79.71015167236328,-0.6490974410148721,,,
1360.0,62.872589111328125,-0.6919177930701239,,,
1375.0,42.95222473144531,-0.7256685416929238,,,
1391.0,29.931114196777344,-0.7526215591346637,,,
1406.0,27.20061492919922,-0.7743009352062709,,,
1422.0,30.40810775756836,-0.7919118254883554,,,
1438.0,31.63614273071289,-0.8067223606980809,,,
1453.0,24.88171768188477,-0.8200765736866751,,,
1469.0,9.000190734863281,-0.8330394365327906,,,
1485.0,-13.084136962890623,-0.8459508515091279,,,
1500.0,-37.82952880859375,-0.8582218813027614,,,
1516.0,-62.34049224853516,-0.8685398625405308,,,
1531.0,-85.09457397460938,-0.8753991289971242,,,
1547.0,-103.95660400390624,-0.8777059600956189,,,
1563.0,-115.32707214355467,-0.8751972398408256,,,
1578.0,-115.73992919921876,-0.8685230729475182,,,
1594.0,-104.69208526611328,-0.858980157468355,,,
1610.0,-85.90621948242188,-0.847980129653719,,,
1625.0,-65.66401672363281,-0.8363931684457239,,,
1641.0,-49.48121643066406,-0.8239507678592136,,,
1656.0,-38.32298278808594,-0.8089295294603119,,,
1672.0,-28.51520538330078,-0.7883321725284915,,,
1688.0,-14.341445922851562,-0.7586785657059429,,,
1703.0,8.502838134765625,-0.7173039297750923,,,
1719.0,39.47548294067383,-0.6637952500046174,,,
1735.0,73.2498550415039,-0.6010062198314331,,,
1750.0,101.36309051513672,-0.5351069313318918,,,
1766.0,115.69813537597656,-0.4744046817798334,,,
1781.0,112.10308074951172,-0.4271439591591032,,,
1797.0,91.6049575805664,-0.3989623731763548,,,
1813.0,60.84526062011719,-0.3909137498987027,,,
1828.0,29.694786071777344,-0.3988242208469175,,,
1844.0,8.0540771484375,-0.4142541965502421,,,
1860.0,1.6148910522460938,-0.4267128170150018,,,
1875.0,10.201576232910156,-0.4263070988984492,,,
1891.0,28.23326873779297,-0.4059227575166305,,,
1906.0,47.39619445800781,-0.3623439258378458,,,
1922.0,60.71937561035156,-0.2962340079780485,,,
1938.0,65.05758666992188,-0.2113382619979914,,,
1953.0,61.662384033203125,-0.1134242431694739,,,
1969.0,54.53092956542969,-0.0093298872827252,,,
1985.0,47.99242401123047,0.0938005952220894,,,
2000.0,43.9281005859375,0.1892265712498175,,,
2016.0,41.361366271972656,0.2714020886428279,,,
2032.0,37.49639892578125,0.3367997515657606,,,
2047.0,29.79459381103516,0.3845059211518081,,,
2063.0,18.25987243652344,0.4162596803874046,,,
2078.0,5.808624267578125,0.4357664805457216,,,
2094.0,-3.3678436279296875,0.4474319002692276,,,
2110.0,-6.103485107421875,0.4549605550860149,,,
2125.0,-2.6078109741210938,0.4603779280311172,,,
2141.0,2.7326431274414062,0.463881258268438,,,
2157.0,3.378662109375,0.464566311464644,,,
2172.0,-5.979393005371094,0.4616731190018172,,,
2188.0,-26.06488800048828,0.4557397087757327,,,
