NTPTime,GSR,GSR_clean,TAG,emotion_HRI,shortNTPTime
3635019.0,12.739398956298828,-0.6996826541511523,,,
3635269.0,12.79959201812744,-0.6929405004157979,,,
3635519.0,12.864909172058104,-0.6837554651221821,,,
3635769.0,12.923821449279783,-0.6740819117258037,,,
3636019.0,12.95455837249756,-0.6658740581599372,,,
3636269.0,12.960962295532228,-0.6597181407001205,,,
3636519.0,12.94175148010254,-0.6567867774196523,,,
3636769.0,12.930225372314451,-0.6565424819877151,,,
3637019.0,12.913576126098633,-0.6581058636104462,,,
3637269.0,12.896926879882812,-0.6605486724075956,,,
3637519.0,12.881558418273926,-0.6628449039455826,,,
3637769.0,12.873873710632324,-0.6649945946049631,,,
3638019.0,12.844417572021484,-0.6676328397476623,,,
3638269.0,12.818802833557127,-0.6706130984950737,,,
3638519.0,12.797030448913574,-0.6738376526744222,,,
3638769.0,12.765012741088867,-0.6779904567340208,,,
3639019.0,12.756048202514648,-0.681361551791976,,,
3639269.0,12.726592063903809,-0.6848791877285377,,,
3639519.0,12.738118171691896,-0.6871265601801373,,,
3639769.0,12.75989055633545,-0.6873219601451314,,,
3640019.0,12.794469833374023,-0.6858562603146194,,,
3640269.0,12.811119079589844,-0.6826317425158266,,,
3640519.0,12.804715156555176,-0.6800912155459024,,,
3640769.0,12.790627479553224,-0.678918670233715,,,
3641019.0,12.79959201812744,-0.678723270268721,,,
3641269.0,12.779101371765137,-0.6799446746672957,,,
3641519.0,12.752205848693848,-0.6819477880675139,,,
3641769.0,12.75989055633545,-0.6831203333797011,,,
3642019.0,12.741960525512695,-0.6853188467449133,,,
3642269.0,12.735556602478027,-0.686979982920975,,,
3642519.0,12.717626571655272,-0.6882991054923245,,,
3642769.0,12.704819679260254,-0.6903999370653175,,,
3643019.0,12.679204940795898,-0.6927939231566353,,,
3643269.0,12.693292617797852,-0.6944062002463096,,,
3643519.0,12.697134971618652,-0.695187909247953,,,
3643769.0,12.73683738708496,-0.6939665048493783,,,
3644019.0,12.807276725769045,-0.6890808508745238,,,
3644269.0,12.880277633666992,-0.6819477880675139,,,
3644519.0,12.93278694152832,-0.6729581891194482,,,
3644769.0,12.957119941711426,-0.6645548992080318,,,
3645019.0,12.999383926391602,-0.6572264364360278,,,
3645269.0,13.077099800109863,-0.6497181081963399,,,
3645519.0,13.087345123291016,-0.6438220570463263,,,
3645769.0,13.055327415466309,-0.6400756601751374,,,
3646019.0,13.038678169250488,-0.6385766721361039,,,
3646269.0,13.001537322998049,-0.6414592127107404,,,
3646519.0,12.975923538208008,-0.645709698562558,,,
3646769.0,12.94902801513672,-0.6497647844493817,,,
3647019.0,12.925975799560549,-0.6540641293875866,,,
3647269.0,12.899080276489258,-0.657972638015248,,,
3647519.0,12.877307891845703,-0.6617346057643028,,,
3647769.0,12.868343353271484,-0.6648125463039335,,,
3648019.0,12.852974891662598,-0.667597368705795,,,
3648269.0,12.840167045593262,-0.6698447775379504,,,
3648519.0,12.813272476196287,-0.6722875863350998,,,
3648769.0,12.809430122375488,-0.6745349951672551,,,
3649019.0,12.77741241455078,-0.6774175357418919,,,
3649269.0,12.779973983764648,-0.6797137672798789,,,
3649519.0,12.76076316833496,-0.6817168806800967,,,
3649769.0,12.75692081451416,-0.6837199940803149,,,
3650019.0,12.753079414367676,-0.6846482439605649,,,
3650269.0,12.74795627593994,-0.6858696483591395,,,
3650519.0,12.74411392211914,-0.6865047801016206,,,
3650769.0,12.73642921447754,-0.6872864891032641,,,
3651019.0,12.745394706726074,-0.6875796436215887,,,
3651269.0,12.792780876159668,-0.6858696847396953,,,
3651519.0,12.891396522521973,-0.6802511808495848,,,
3651769.0,12.991291999816896,-0.6705287319862632,,,
3652019.0,13.083502769470217,-0.6576306607910919,,,
3652269.0,13.112959861755373,-0.6454165440442331,,,
3652519.0,13.12576675415039,-0.6364758405631106,,,
3652769.0,13.09631061553955,-0.6324696137626743,,,
3653019.0,13.068134307861328,-0.6330558864187682,,,
3653269.0,13.015625,-0.6367689950814356,,,
3653519.0,12.961834907531738,-0.6430226307140271,,,
3653769.0,12.92341423034668,-0.6496182435707751,,,
3654019.0,12.904203414916992,-0.655871842822811,,,
3654269.0,12.887554168701172,-0.6607574604171098,,,
3654519.0,12.854255676269531,-0.6648613690097651,,,
3654769.0,12.85041332244873,-0.6676461914116267,,,
3655019.0,12.828640937805176,-0.6705287319862632,,,
3655269.0,12.824798583984377,-0.6729227180775809,,,
3655519.0,12.801746368408203,-0.6749258314777989,,,
3655769.0,12.811991691589355,-0.6763915313083109,,,
3656019.0,12.779973983764648,-0.6782480674493667,,,
3656269.0,12.77741241455078,-0.680055744504035,,,
3656519.0,12.774850845336914,-0.6810817489376156,,,
3656769.0,12.77357006072998,-0.6825474487681277,,,
3657019.0,12.779973983764648,-0.6825474487681277,,,
3657269.0,12.765886306762695,-0.6829871441650589,,,
3657519.0,12.754359245300291,-0.6837688531667023,,,
3657769.0,12.753079414367676,-0.68455052578779,,,
3658019.0,12.732587814331056,-0.6863582028424583,,,
3658269.0,12.7069730758667,-0.6886056116746136,,,
3658519.0,12.701849937438965,-0.6906087250748318,,,
3658769.0,12.674955368041992,-0.6935889838222431,,,
3659019.0,12.669832229614258,-0.6959829699135608,,,
3659269.0,12.646780014038086,-0.6982792014515479,,,
3659519.0,12.646780014038086,-0.7003799966439852,,,
3659769.0,12.630130767822266,-0.7020899555258786,,,
3660019.0,12.646780014038086,-0.7029693463197412,,,
3660269.0,12.6314115524292,-0.7035556189758347,,,
3660519.0,12.63397216796875,-0.7040442098397093,,,
3660769.0,12.614761352539062,-0.7046305188763586,,,
3661019.0,12.613481521606444,-0.7059007823613208,,,
3661269.0,12.595551490783691,-0.7072687640190578,,,
3661519.0,12.605796813964844,-0.7083435911584702,,,
3661769.0,12.601954460144045,-0.7088321456417889,,,
3662019.0,12.590428352355955,-0.7097115728162072,,,
3662269.0,12.580182075500488,-0.7102978818528566,,,
3662519.0,12.577621459960938,-0.711372708992269,,,
3662769.0,12.578902244567873,-0.7122520997861316,,,
3663019.0,12.57505989074707,-0.7128383724422251,,,
3663269.0,12.581462860107422,-0.7127895133558377,,,
3663519.0,12.567375183105469,-0.7131803860469373,,,
3663769.0,12.58786678314209,-0.7128384088227809,,,
3664019.0,12.619884490966797,-0.7111284499408875,,,
