NTPTime,GSR,GSR_clean,TAG,emotion_HRI,shortNTPTime
246.0,0.0102512938901782,-1.3626689251812454,,,
496.0,0.006407069042325,-1.362975822913366,,,
746.0,0.0089698852971196,-1.3629417231818748,,,
996.0,0.0294724162667989,-1.3621062794257672,,,
1246.0,0.006407069042325,-1.3622597282918274,,,
1496.0,0.0089698852971196,-1.362157429060179,,,
1746.0,0.0076884771697223,-1.3622085786760032,,,
1996.0,0.0089698852971196,-1.3630269725663655,,,
2246.0,0.0076884771697223,-1.362975822950541,,,
2496.0,0.0089698852971196,-1.362975822950541,,,
2746.0,0.006407069042325,-1.3630269725663655,,,
2996.0,0.006407069042325,-1.363129271798014,,,
3246.0,0.006407069042325,-1.363180421413838,,,
3496.0,0.0102512938901782,-1.363129271779426,,,
3746.0,0.0076884771697223,-1.363078122163602,,,
3996.0,0.006407069042325,-1.363078122163602,,,
4246.0,0.0089698852971196,-1.3629758229319535,,,
4496.0,0.0076884771697223,-1.3630781221821897,,,
4746.0,0.0102512938901782,-1.3629758229319535,,,
4996.0,0.006407069042325,-1.3629758229319535,,,
5246.0,0.006407069042325,-1.363078122163602,,,
5496.0,0.006407069042325,-1.363129271779426,,,
5746.0,0.0089698852971196,-1.363180421413838,,,
5996.0,0.0089698852971196,-1.3630781221821897,,,
6246.0,0.006407069042325,-1.3630781221821897,,,
6496.0,0.0102512938901782,-1.362924673316129,,,
6746.0,0.0038442525546997,-1.36312927178872,,,
6996.0,0.0102512938901782,-1.363078122154308,,,
7246.0,0.0076884771697223,-1.363026972538484,,,
7496.0,0.006407069042325,-1.3631804214045442,,,
7746.0,0.006407069042325,-1.363078122163602,,,
7996.0,0.0102512938901782,-1.363078122163602,,,
8246.0,0.0089698852971196,-1.3630269725477775,,,
8496.0,0.006407069042325,-1.3630269725477775,,,
8746.0,0.0089698852971196,-1.362924673316129,,,
8996.0,0.006407069042325,-1.3630781221821897,,,
9246.0,0.0294724162667989,-1.3622597282918274,,,
9496.0,0.0076884771697223,-1.3622085786760032,,,
9746.0,0.0102512938901782,-1.3621574290415914,,,
9996.0,0.0076884771697223,-1.3621062794257672,,,
10246.0,0.006407069042325,-1.3630269725477775,,,
10496.0,0.0089698852971196,-1.3629758229319535,,,
10746.0,0.006407069042325,-1.363129271798014,,,
10996.0,0.0089698852971196,-1.3630781221821897,,,
11246.0,0.0076884771697223,-1.3630269725663655,,,
11496.0,0.0089698852971196,-1.3630269725663655,,,
11746.0,0.006407069042325,-1.3630269725663655,,,
11996.0,0.0089698852971196,-1.3630269725663655,,,
12246.0,0.0076884771697223,-1.3630269725663655,,,
12496.0,0.0102512938901782,-1.3629758229319535,,,
12746.0,0.0102512938901782,-1.3628223740658931,,,
12996.0,0.0102512938901782,-1.3627712244314816,,,
13246.0,0.0102512938901782,-1.3626689251812454,,,
13496.0,0.0102512938901782,-1.3626689251812454,,,
13746.0,0.0128141101449728,-1.3625666259495972,,,
13996.0,0.284472644329071,-1.3516206077171178,,,
14246.0,0.3344475626945495,-1.3386797544117324,,,
14496.0,0.1460805684328079,-1.3332578946139142,,,
14746.0,0.1601760536432266,-1.327375688440967,,,
14996.0,0.2114323824644088,-1.3302912164871827,,,
15246.0,0.1960554867982864,-1.3358153749218438,,,
15496.0,0.2434675842523574,-1.3319280041935566,,,
15746.0,0.2614073157310486,-1.327887183744176,,,
15996.0,0.2690957486629486,-1.3255854510135003,,,
16246.0,0.2703771591186523,-1.3226187732585222,,,
16496.0,0.2793470323085785,-1.3211865831975875,,,
16746.0,0.2729399800300598,-1.3207262370083357,,,
16996.0,0.276784211397171,-1.3204193387557603,,,
17246.0,0.2806284427642822,-1.32001014108566,,,
17496.0,0.2831912338733673,-1.3198566931489837,,,
17746.0,0.289598286151886,-1.319191748124681,,,
17996.0,0.2806284427642822,-1.3190382989983938,,,
18246.0,0.2908796966075897,-1.3186291025179044,,,
18496.0,0.284472644329071,-1.318577952809142,,,
18746.0,0.3036937713623047,-1.3180153072023648,,,
18996.0,0.276784211397171,-1.3181687563286526,,,
19246.0,0.2960053384304046,-1.3179641574936023,,,
19496.0,0.2985681593418121,-1.3174015106972143,,,
19746.0,0.2960053384304046,-1.3177084077601786,,,
19996.0,0.3024123609066009,-1.3166854159641497,,,
20246.0,0.2793470323085785,-1.3173503609884518,,,
20496.0,0.2960053384304046,-1.3174526604059769,,,
20746.0,0.2665329277515411,-1.3186291025179044,,,
20996.0,0.2383419573307037,-1.3211865831975875,,,
21246.0,0.2716585695743561,-1.3214934814501629,,,
21496.0,0.289598286151886,-1.3217492299939757,,,
21746.0,0.2165580242872238,-1.3237440644720762,,,
21996.0,0.0627890303730964,-1.3307515623790318,,,
22246.0,0.0102512938901782,-1.3411860847134969,,,
22496.0,0.0102512938901782,-1.3523367017810262,,,
22746.0,0.0102512938901782,-1.3605717908023405,,,
22996.0,0.1819600015878677,-1.355814875917298,,,
23246.0,0.402362197637558,-1.3401630928059418,,,
23496.0,0.0307538248598575,-1.3393446989155795,,,
23746.0,0.0102512938901782,-1.3393446989155795,,,
23996.0,0.0102512938901782,-1.346198748179527,,,
24246.0,0.0076884771697223,-1.3619528305411193,,,
24496.0,0.4677140414714813,-1.3445108097420686,,,
24746.0,0.4920607805252075,-1.3252785529653894,,,
24996.0,0.5176889300346375,-1.305023304392681,,,
25246.0,0.0128141101449728,-1.304818705910797,,,
25496.0,0.0102512938901782,-1.32307912060021,,,
25746.0,0.006407069042325,-1.3424648262429493,,,
25996.0,0.006407069042325,-1.3628735236817175,,,
26246.0,0.0102512938901782,-1.362975822913366,,,
26496.0,0.006407069042325,-1.363129271779426,,,
26746.0,0.0102512938901782,-1.362975822913366,,,
