NTPTime,BVP,BVP_clean,TAG,emotion_HRI,shortNTPTime
2000.0,13.805213928222656,-0.9783483686786928,,,
2016.0,17.07073974609375,-0.6910063429369258,,,
2031.0,19.789024353027344,-0.3653975630357318,,,
2047.0,19.42340469360352,-0.0417911889385542,,,
2063.0,14.48260498046875,0.2349210757136688,,,
2078.0,5.233234405517578,0.4102763718249286,,,
2094.0,-6.076904296875,0.4658215039950822,,,
2110.0,-16.636844635009766,0.4092264735219758,,,
2125.0,-24.199920654296875,0.267291859052219,,,
2141.0,-27.336719512939453,0.0749542182075753,,,
2156.0,-25.12955474853516,-0.1342754498762728,,,
2172.0,-17.087860107421875,-0.3333510468690442,,,
2188.0,-3.8067626953125,-0.5026655049293305,,,
2203.0,12.455085754394531,-0.6296284629773865,,,
2219.0,27.905372619628903,-0.7092276134066936,,,
2235.0,39.23242950439453,-0.7459209758826261,,,
2250.0,43.174713134765625,-0.7551868762770321,,,
2266.0,37.23295593261719,-0.7624997585242093,,,
2281.0,21.043243408203125,-0.7987033336794453,,,
2297.0,-2.195838928222656,-0.8927767217237598,,,
2313.0,-26.5615234375,-1.0643579035915514,,,
2328.0,-45.96006774902344,-1.3182198026617138,,,
2344.0,-56.544395446777344,-1.641575775329177,,,
2360.0,-56.91719055175781,-2.003873784689877,,,
2375.0,-44.66324615478516,-2.3585801661822177,,,
2391.0,-17.303428649902344,-2.647200940803491,,,
2406.0,25.92975616455078,-2.8064319141823693,,,
2422.0,82.74474334716797,-2.778936733438054,,,
2438.0,147.34170532226562,-2.589981376968752,,,
2453.0,210.91357421875,-2.324443513996362,,,
2469.0,262.993408203125,-1.9759475301607483,,,
2485.0,294.4690246582031,-1.5476124763238472,,,
2500.0,287.9578857421875,-1.0505449485713785,,,
2516.0,238.5529327392578,-0.5009574313536952,,,
2531.0,160.79444885253906,0.0828036489251629,,,
2547.0,81.1186752319336,0.598682323815632,,,
2563.0,20.06210708618164,0.9635794416217608,,,
2578.0,-16.91509246826172,1.2066926890250729,,,
2594.0,-35.73299026489258,1.348272377068401,,,
2610.0,-45.56910705566406,1.4135667481569707,,,
2625.0,-53.06232452392578,1.421297472168363,,,
2641.0,-60.4921875,1.3869392135756122,,,
2656.0,-65.11454010009766,1.3270484811862384,,,
2672.0,-63.54227066040039,1.2604016711637402,,,
2688.0,-55.73353958129883,1.2048640619783664,,,
2703.0,-45.09709548950195,1.172110309637946,,,
2719.0,-35.80165100097656,1.163603125385866,,,
2735.0,-30.468355178833008,1.1702372499189602,,,
2750.0,-29.64912223815918,1.175843714159449,,,
2766.0,-32.391136169433594,1.1628143621710387,,,
2781.0,-37.03998947143555,1.117380187990178,,,
2797.0,-40.3991813659668,1.03264183121275,,,
2813.0,-39.687347412109375,0.9087913176493236,,,
2828.0,-34.5581169128418,0.7513195509044298,,,
2844.0,-27.244443893432617,0.5686813603246913,,,
2860.0,-20.503829956054688,0.3705988083805199,,,
2875.0,-16.323335647583008,0.1672307322140593,,,
2891.0,-15.487557411193848,-0.0314665207302334,,,
2906.0,-17.92470359802246,-0.2170833462131275,,,
2922.0,-23.24468040466309,-0.3850797888992016,,,
2938.0,-30.57770729064941,-0.5372753748265622,,,
2953.0,-39.270240783691406,-0.6828682088802587,,,
2969.0,-49.86071014404297,-0.8364560487052798,,,
2985.0,-63.0256462097168,-1.012764867973147,,,
3000.0,-77.54350280761719,-1.21961877988635,,,
3016.0,-89.55089569091797,-1.4520926248030703,,,
3032.0,-93.92796325683594,-1.6908486619088388,,,
3047.0,-86.93655395507812,-1.9061193174444335,,,
3063.0,-67.17965698242188,-2.0662998774851107,,,
3078.0,-39.763816833496094,-2.147911499502928,,,
3094.0,-11.924182891845703,-2.142992419548014,,,
3110.0,9.526329040527344,-2.0611973185718777,,,
3125.0,20.911828994750977,-1.9263371998797527,,,
3141.0,22.851806640625,-1.7693812271298286,,,
3157.0,19.092071533203125,-1.6208903847571283,,,
3172.0,13.87782382965088,-1.5052162124241577,,,
3188.0,9.75263786315918,-1.4372940248788049,,,
3203.0,6.97648811340332,-1.4215660740014715,,,
3219.0,4.537864685058594,-1.452176495497045,,,
3235.0,2.0372257232666016,-1.5140261573572618,,,
3250.0,-0.07491135597229,-1.584933082398584,,,
3266.0,-0.8303457498550415,-1.6393247412915033,,,
3282.0,0.4454669952392578,-1.6533391316290775,,,
3297.0,3.519216537475586,-1.6103085915998443,,,
3313.0,7.236232757568359,-1.5050782686799034,,,
3328.0,10.089110374450684,-1.3459589942275778,,,
3344.0,10.82099437713623,-1.154122702938332,,,
3360.0,9.054329872131348,-0.9611566465784418,,,
3375.0,5.735783576965332,-0.8056490980900954,,,
3391.0,2.356421947479248,-0.7291028767693791,,,
3407.0,0.315964937210083,-0.770792159162057,,,
3422.0,0.27425217628479,-0.96108784561531,,,
3438.0,1.9579949378967283,-1.2502353076735078,,,
3453.0,4.359320163726807,-1.5365417397211234,,,
3469.0,6.268172264099121,-1.820510815455243,,,
3485.0,6.801163673400879,-2.104341884540388,,,
3500.0,5.701391220092773,-2.390795731119723,,,
3516.0,3.5962843894958496,-2.6819080887690934,,,
3532.0,1.4873628616333008,-2.978145258630925,,,
3547.0,0.2559020519256592,-3.2054004500333506,,,
3563.0,0.2875664234161377,-3.2835006489007217,,,
3578.0,1.3843131065368652,-3.248833667312645,,,
3594.0,2.9029932022094727,-3.143161533346284,,,
3610.0,4.1183695793151855,-3.0014662608507914,,,
3625.0,4.52629280090332,-2.846933918672716,,,
3641.0,4.023632526397705,-2.6925442673173654,,,
3657.0,2.9818930625915527,-2.5456479486833192,,,
3672.0,1.9588661193847656,-2.4116486150165515,,,
3688.0,1.4038329124450684,-2.294899192736732,,,
3703.0,1.502333164215088,-2.19741541147967,,,
3719.0,2.100189208984375,-2.1173844630703216,,,
3735.0,2.8581418991088867,-2.0491843032247696,,,
3750.0,3.415412425994873,-1.9853363754941955,,,
3766.0,3.5798115730285645,-1.919508759164672,,,
3782.0,3.3753371238708496,-1.849078653389106,,,
3797.0,3.05031156539917,-1.7760169855227244,,,
3813.0,2.897136211395264,-1.7057264454140495,,,
3828.0,3.098878860473633,-1.644474347480055,,,
3844.0,3.651955127716065,-1.5966826473886286,,,
3860.0,4.348512172698975,-1.5632394237689355,,,
3875.0,4.926364898681641,-1.5412866346515284,,,
3891.0,5.207523345947266,-1.525105037027286,,,
3907.0,5.190397262573242,-1.5072752273587806,,,
3922.0,5.127475738525391,-1.4794565650457123,,,
3938.0,5.355714797973633,-1.4327250313447843,,,
3953.0,6.176935195922852,-1.3580379410433034,,,
3969.0,7.648548126220703,-1.2476044184790354,,,
3985.0,9.543895721435549,-1.0974771247025688,,,
4000.0,11.399541854858398,-0.9106867813409022,,,
4016.0,12.724428176879885,-0.6993113815572946,,,
4032.0,13.264581680297852,-0.4837430838781878,,,
4047.0,13.158317565917969,-0.2884316434163837,,,
4063.0,12.965883255004885,-0.1351532635782981,,,
4078.0,13.406940460205078,-0.0363930400368856,,,
4094.0,15.07601547241211,0.00826535888159,,,
4110.0,18.07491874694824,0.0111125581046812,,,
4125.0,21.9444580078125,-0.008784825751461,,,
4141.0,25.76694107055664,-0.0322922302614994,,,
4157.0,28.608585357666016,-0.0455193992178598,,,
4172.0,29.95877456665039,-0.0417701823640875,,,
4188.0,30.05146026611328,-0.0200955331147944,,,
4203.0,29.82440948486328,0.0179123976692452,,,
4219.0,30.543556213378903,0.0709292068818689,,,
4235.0,33.18487548828125,0.1389080250981494,,,
4250.0,37.95964431762695,0.2222710122783786,,,
4266.0,44.1220588684082,0.320370008852695,,,
4282.0,50.25490188598633,0.4305514366918819,,,
4297.0,55.064064025878906,0.5485739992393958,,,
4313.0,57.755859375,0.6702053128665442,,,
4328.0,58.54521560668945,0.7931561442691125,,,
4344.0,58.46051406860352,0.9184233656105352,,,
4360.0,58.830997467041016,1.0505237833073429,,,
4375.0,60.84024810791016,1.1966433383248318,,,
4391.0,65.38435363769531,1.3650339073448086,,,
4407.0,73.01713562011719,1.5629653193216462,,,
4422.0,83.6470718383789,1.7943997510735727,,,
4438.0,95.92118072509766,2.057607644529878,,,
4453.0,106.65265655517578,2.343280015380917,,,
4469.0,111.1778564453125,2.6272490911150364,,,
4485.0,104.79369354248048,2.8995411240799718,,,
4500.0,84.98751068115234,3.127851290555345,,,
4516.0,53.21326446533203,3.290642223652977,,,
4532.0,14.99285888671875,3.3758425747175207,,,
4547.0,-21.940704345703125,3.3838911549302897,,,
4563.0,-50.71836853027344,3.327089835859208,,,
4578.0,-67.91278076171875,3.225573052885804,,,
4594.0,-74.3460693359375,3.1016032011846195,,,
4610.0,-73.73526000976562,2.974418763316353,,,
4625.0,-70.26725769042969,2.857274630300196,,,
4641.0,-66.56278991699219,2.7570476858921658,,,
4657.0,-63.16773986816406,2.675605636304795,,,
4672.0,-59.46284484863281,2.611665285142802,,,
4688.0,-55.04176330566406,2.562198505769412,,,
4703.0,-50.52421569824219,2.5231835533017817,,,
4719.0,-47.25582885742188,2.490081204142246,,,
4735.0,-46.37603759765625,2.4584942972672432,,,
4750.0,-47.96244812011719,2.425105736542828,,,
4766.0,-50.93836975097656,2.388539566700142,,,
4782.0,-53.68229675292969,2.349616960653836,,,
4797.0,-54.75949096679688,2.3107123529954974,,,
4813.0,-53.79579162597656,2.274393709891389,,,
4828.0,-51.529052734375,2.2419420110235566,,,
4844.0,-49.37934875488281,2.2124347456423243,,,
4860.0,-48.7713623046875,2.182799939400885,,,
4875.0,-50.51087951660156,2.148767157067296,,,
4891.0,-54.45951843261719,2.106223435280912,,,
4907.0,-59.69535827636719,2.0523346201291086,,,
4922.0,-64.90203857421875,1.9859689851311015,,,
4938.0,-69.09490966796875,1.907343695796376,,,
4953.0,-71.96292114257812,1.8171925361433925,,,
4969.0,-73.92361450195312,1.7159336560208922,,,
4985.0,-75.82194519042969,1.6032286806267306,,,
5000.0,-78.51080322265625,1.4780479896394825,,,
5016.0,-82.44606018066406,1.3390630222510853,,,
5032.0,-87.57260131835938,1.1850384165979408,,,
5047.0,-93.38011169433594,1.0149617100943875,,,
5063.0,-99.11174011230467,0.8278682832755798,,,
5078.0,-104.28126525878906,0.6225507399545513,,,
5094.0,-108.80442810058594,0.397439169005274,,,
5110.0,-112.89918518066406,0.1508395425746646,,,
5125.0,-117.01910400390624,-0.1185161857210724,,,
5141.0,-121.50479125976562,-0.4108725398783808,,,
5157.0,-126.33293151855467,-0.7251259448762465,,,
5172.0,-131.045654296875,-1.058941308780582,,,
5188.0,-135.4818115234375,-1.4092072364789627,,,
5203.0,-138.4562530517578,-1.7692814181057874,,,
5219.0,-138.89559936523438,-2.134559128303527,,,
5235.0,-135.90516662597656,-2.5087955377064537,,,
5250.0,-128.93710327148438,-2.8866452366803155,,,
5266.0,-117.736328125,-3.2566777482464957,,,
5282.0,-102.37753295898438,-3.608884160839888,,,
5297.0,-83.25392150878906,-3.9315077033664863,,,
5313.0,-61.01286315917969,-4.212644839784391,,,
5328.0,-36.55918884277344,-4.442508501031328,,,
5344.0,-10.944671630859377,-4.61579870033597,,,
5360.0,14.563369750976562,-4.733536443459025,,,
5375.0,38.63739013671875,-4.803768935000432,,,
5391.0,60.0704345703125,-4.840702796656806,,,
5407.0,77.94580078125,-4.862077401582484,,,
5422.0,91.75737762451172,-4.885012763010764,,,
5438.0,101.35152435302734,-4.92115865090856,,,
5453.0,106.9390869140625,-4.972556330503389,,,
5469.0,109.0437240600586,-5.023039945655324,,,
5485.0,108.40237426757812,-5.067179572220425,,,
5500.0,105.7974624633789,-5.074623026815176,,,
5516.0,102.06745910644533,-5.024455279085544,,,
5532.0,97.95996856689452,-4.904921825466046,,,
5547.0,94.12822723388672,-4.716874364081964,,,
5563.0,91.00912475585938,-4.472898748202055,,,
5578.0,88.82003784179688,-4.192756083026517,,,
5594.0,87.6083755493164,-3.897291163710365,,,
5610.0,87.23587036132812,-3.6033640817748407,,,
5625.0,87.49790954589844,-3.321499159808869,,,
5641.0,88.02114868164062,-3.0563918517502,,,
5657.0,88.31608581542969,-2.809081534876816,,,
5672.0,88.03936004638672,-2.579170476932517,,,
5688.0,86.88526916503906,-2.3660138367981616,,,
5703.0,84.75849151611328,-2.1688078398826134,,,
5719.0,81.68045043945312,-1.986264446922912,,,
5735.0,77.68681335449219,-1.8166572297648471,,,
5750.0,72.87064361572266,-1.6585243064867516,,,
5766.0,67.35011291503906,-1.511655813711978,,,
5782.0,61.27333068847656,-1.3776439987091853,,,
5797.0,54.83112716674805,-1.2594426892176689,,,
5813.0,48.24131774902344,-1.1599353808349413,,,
5829.0,41.84555816650391,-1.0800969660138011,,,
5844.0,36.04636001586914,-1.0176124327668306,,,
5860.0,31.31991958618164,-0.9666410124199386,,,
5875.0,28.18146514892578,-0.9188888214609776,,,
5891.0,26.909130096435547,-0.865548423112033,,,
5907.0,27.48434066772461,-0.7992746176524628,,,
5922.0,29.66157531738281,-0.7153707676812009,,,
5938.0,33.080169677734375,-0.6117437470164048,,,
5954.0,37.34214401245117,-0.4877560906671253,,,
5969.0,42.28868103027344,-0.3425930731768138,,,
5985.0,48.00580596923828,-0.1739535867263441,,,
6000.0,54.79246139526367,0.0223063466985067,,,
6016.0,62.79444885253906,0.251406263123424,,,
6032.0,71.9395523071289,0.5181029758683912,,,
6047.0,81.7049560546875,0.8250920397080145,,,
6063.0,91.30599212646484,1.1720967738448511,,,
6079.0,99.78880310058594,1.5560930749739896,,,
6094.0,106.50534057617188,1.9726090171507964,,,
6110.0,111.33454895019533,2.4175358802399964,,,
6125.0,114.7739715576172,2.8886083286390725,,,
6141.0,117.76319122314452,3.3857860052821964,,,
6157.0,121.13748168945312,3.910187125357646,,,
6172.0,125.1417465209961,4.4618333902909,,,
6188.0,128.65184020996094,5.03701873409394,,,
6204.0,129.873046875,5.623138996914067,,,
6219.0,126.9662094116211,6.203744147468315,,,
6235.0,118.64256286621094,6.766716998518302,,,
6250.0,104.62985229492188,7.290485839273403,,,
6266.0,86.13456726074219,7.751135598176996,,,
6282.0,65.2708740234375,8.132779993587855,,,
6297.0,44.19780731201172,8.424821565259347,,,
6313.0,24.30941772460937,8.621290560086319,,,
6329.0,5.7239532470703125,8.71893589583794,,,
6344.0,-12.59222412109375,8.715009664918988,,,
6360.0,-32.64752197265625,8.605774126306306,,,
6375.0,-56.06706237792969,8.386477057348152,,,
6391.0,-83.71612548828125,8.053008839591046,,,
6407.0,-115.29302978515624,7.60483670311544,,,
6422.0,-148.89256286621094,7.097904561145248,,,
6438.0,-181.21961975097656,6.571170987379308,,,
6454.0,-208.2289123535156,6.034383697905085,,,
6469.0,-225.988037109375,5.496048282791391,,,
6485.0,-232.38092041015625,4.962907915211074,,,
6500.0,-228.01231384277344,4.439676019644157,,,
6516.0,-216.70005798339844,3.929010666200635,,,
6532.0,-204.5289001464844,3.4316950011127973,,,
6547.0,-196.97366333007807,2.946975476027903,,,
6563.0,-196.25924682617188,2.473004260280317,,,
6579.0,-200.1219787597656,2.007331559527503,,,
6594.0,-202.5585479736328,1.5473967420093555,,,
6610.0,-196.8539581298828,1.0909716595076673,,,
6625.0,-179.10963439941406,0.6365121845026852,,,
6641.0,-150.24073791503906,0.1833767123208856,,,
6657.0,-115.43815612792967,-0.198279998433863,,,
6672.0,-81.92247009277344,-0.5000625777792816,,,
6688.0,-55.8323974609375,-0.7341932720440841,,,
6704.0,-39.993438720703125,-0.9200596491293648,,,
6719.0,-33.69795227050781,-1.0764531544820155,,,
6735.0,-33.019439697265625,-1.2142283994068377,,,
6750.0,-32.47076416015625,-1.3321847221474503,,,
6766.0,-26.848602294921875,-1.4177210909700453,,,
6782.0,-12.702545166015623,-1.4520463724224155,,,
6797.0,9.956680297851562,-1.4180306678200048,,,
6813.0,37.265167236328125,-1.3077431016247818,,,
6829.0,62.80647277832031,-1.126766083776042,,,
6844.0,80.19876098632812,-0.8935854390528569,,,
6860.0,85.77677917480469,-0.6343248489327271,,,
6875.0,80.22151184082031,-0.3750155234382893,,,
6891.0,68.19931030273438,-0.1345972014533949,,,
6907.0,55.81321716308594,0.0785608667001884,,,
6922.0,47.83085632324219,0.2654771791734806,,,
6938.0,45.49136352539063,0.431671492396649,,,
6954.0,46.612091064453125,0.581091185797045,,,
6969.0,47.37594604492188,0.711702254085824,,,
6985.0,44.025390625,0.8146538048475157,,,
7000.0,35.021087646484375,0.8772330766072655,,,
7016.0,21.87841796875,0.8881830717352427,,,
7032.0,7.727508544921875,0.8430319293212125,,,
7047.0,-3.388824462890625,0.7471689891026071,,,
7063.0,-7.758682250976562,0.6153580250344974,,,
7079.0,-3.859100341796875,0.4677791244296078,,,
7094.0,7.35089111328125,0.3240086357012201,,,
7110.0,22.74205017089844,0.197112252337419,,,
7125.0,37.95356750488281,0.0899756210995048,,,
7141.0,48.85920715332031,-0.0048381584942288,,,
7157.0,53.22314453125,-0.1017111019040138,,,
7172.0,50.98979187011719,-0.2163370329064216,,,
7188.0,43.47694396972656,-0.3598399558578333,,,
7204.0,33.129180908203125,-0.5346390479726856,,,
7219.0,22.09785461425781,-0.73336295164005,,,
7235.0,11.988616943359377,-0.9410590379552464,,,
7250.0,3.939361572265625,-1.1398928909689403,,,
7266.0,-2.0133819580078125,-1.3147712309421615,,,
7282.0,-6.703048706054688,-1.4580108542994048,,,
7297.0,-11.74261474609375,-1.5713914150620356,,,
7313.0,-19.522476196289062,-1.6646628310652576,,,
7329.0,-32.069091796875,-1.750707119650483,,,
7344.0,-49.73260498046875,-1.838800011706848,,,
7360.0,-70.31617736816406,-1.9283446328883165,,,
7375.0,-89.3165283203125,-2.0056012642735084,,,
7391.0,-101.5040283203125,-2.0450827331945822,,,
7407.0,-102.99868774414062,-2.015619656172676,,,
7422.0,-92.93727111816406,-1.9388875228071365,,,
7438.0,-73.90576171875,-1.822266151775386,,,
7454.0,-50.35838317871094,-1.651765295684442,,,
7469.0,-26.45248413085937,-1.4228324057642263,,,
7485.0,-5.4195098876953125,-1.140219992129784,,,
7500.0,11.014144897460938,-0.8162097328912875,,,
7516.0,21.98545837402344,-0.4678562569725804,,,
7532.0,26.6090087890625,-0.1136287988076359,,,
7547.0,24.565597534179688,0.2303671744964779,,,
7563.0,17.097854614257812,0.5542008114768096,,,
7579.0,7.43798828125,0.8570738260951912,,,
7594.0,0.663330078125,1.1482184072779464,,,
7610.0,1.5664596557617188,1.4448432960685416,,,
7625.0,12.639678955078123,1.767252142655576,,,
7641.0,32.43379211425781,2.132523908196291,,,
7657.0,56.183692932128906,2.479115767760536,,,
7672.0,77.9273681640625,2.796555454195212,,,
7688.0,92.35124969482422,3.0850604590970003,,,
7704.0,97.00253295898438,3.3459832782126737,,,
7719.0,92.44996643066406,3.579418027979932,,,
7735.0,81.4271240234375,3.781662453548191,,,
7750.0,67.76502227783203,3.9438107807337865,,,
7766.0,54.12115478515625,4.052530591571264,,,
7782.0,41.8506088256836,4.093304190513347,,,
7797.0,31.382080078125,4.0552698805966,,,
7813.0,22.29432678222656,3.935789520699805,,,
7829.0,14.23198699951172,3.742634822197871,,,
7844.0,6.929313659667969,3.4925670710046237,,,
